Timestamp;Power_W
14:51:55;0,0
14:51:56;0,0
14:51:57;0,0
14:51:58;0,0
14:51:59;0,0
14:52:00;0,0
14:52:02;0,0
14:52:03;0,0
14:52:04;0,0
14:52:05;0,0
14:52:06;0,0
14:52:08;0,0
14:52:09;0,0
14:52:10;0,0
14:52:11;0,0
14:52:12;0,0
14:52:13;0,0
14:52:14;0,0
14:52:16;0,0
14:52:17;0,0
14:52:18;1,2
14:52:19;1,1
14:52:20;1,2
14:52:21;1,1
14:52:22;1,3
14:52:23;1,4
14:52:24;1,4
14:52:26;1,4
14:52:27;1,5
14:52:28;1,6
14:52:29;1,7
14:52:30;1,6
14:52:31;1,7
14:52:32;1,7
14:52:33;1,7
14:52:35;1,8
14:52:36;1,9
14:52:37;1,9
14:52:38;2,0
14:52:39;2,0
14:52:40;2,1
14:52:41;2,1
14:52:42;2,1
14:52:44;2,2
14:52:45;2,3
14:52:46;2,2
14:52:47;2,3
14:52:48;2,4
14:52:49;2,4
14:52:50;2,4
14:52:52;2,5
14:52:53;2,6
14:52:54;2,6
14:52:55;2,7
14:52:56;2,7
14:52:57;2,8
14:52:58;2,8
14:53:00;2,9
14:53:01;2,9
14:53:02;3,0
14:53:03;3,0
14:53:04;3,1
14:53:05;3,1
14:53:06;3,1
14:53:07;3,1
14:53:08;3,2
14:53:09;3,2
14:53:10;3,3
14:53:12;3,3
14:53:13;3,5
14:53:14;3,5
14:53:15;3,5
14:53:16;3,5
14:53:17;3,6
14:53:18;3,7
14:53:19;3,7
14:53:20;3,8
14:53:21;3,8
14:53:22;3,8
14:53:24;3,9
14:53:25;4,0
14:53:26;4,0
14:53:27;4,0
14:53:28;4,2
14:53:29;4,2
14:53:30;4,2
14:53:31;4,2
14:53:32;4,3
14:53:33;4,4
14:53:34;4,4
14:53:36;4,4
14:53:37;4,4
14:53:38;4,5
14:53:39;4,5
14:53:40;4,5
14:53:41;4,6
14:53:42;4,6
14:53:43;4,7
14:53:44;4,7
14:53:45;4,7
14:53:47;4,8
14:53:48;4,8
14:53:49;4,9
14:53:50;5,0
14:53:51;5,0
14:53:52;5,2
14:53:53;5,0
14:53:54;5,1
14:53:55;5,2
14:53:56;5,2
14:53:57;5,3
14:53:58;5,3
14:53:59;5,4
14:54:01;5,4
14:54:02;5,5
14:54:03;5,5
14:54:04;5,6
14:54:05;5,6
14:54:06;5,7
14:54:07;5,8
14:54:08;5,8
14:54:09;5,8
14:54:10;5,8
14:54:11;5,9
14:54:12;6,0
14:54:14;6,1
14:54:15;6,1
14:54:16;6,1
14:54:17;6,3
14:54:18;6,3
14:54:19;6,2
14:54:20;6,4
14:54:21;6,3
14:54:22;6,3
14:54:23;6,4
14:54:24;6,4
14:54:25;6,4
14:54:26;6,4
14:54:27;6,3
14:54:29;6,3
14:54:30;6,3
14:54:31;6,3
14:54:32;6,2
14:54:33;6,2
14:54:34;6,3
14:54:35;6,3
14:54:36;6,3
14:54:37;6,3
14:54:38;6,3
14:54:39;6,3
14:54:41;6,3
14:54:42;6,2
14:54:43;6,3
14:54:44;6,2
14:54:45;6,3
14:54:46;6,3
14:54:47;6,3
14:54:48;6,3
14:54:49;6,4
14:54:50;6,3
14:54:51;6,3
14:54:52;6,3
14:54:53;6,3
14:54:55;6,3
14:54:56;6,3
14:54:57;6,3
14:54:58;6,2
14:54:59;6,2
14:55:00;6,3
14:55:01;6,3
14:55:02;6,3
14:55:03;6,2
14:55:04;6,3
14:55:05;6,4
14:55:07;6,4
14:55:08;6,3
14:55:09;6,3
14:55:10;6,3
14:55:11;6,3
14:55:12;6,3
14:55:13;6,3
14:55:14;6,3
14:55:15;6,4
14:55:16;6,3
14:55:17;6,3
14:55:18;6,3
14:55:19;6,3
14:55:20;6,4
14:55:22;6,3
14:55:23;6,3
14:55:24;6,3
14:55:25;6,3
14:55:26;6,3
14:55:27;6,3
14:55:28;6,3
14:55:29;6,2
14:55:30;6,4
14:55:31;6,4
14:55:32;6,3
14:55:33;6,3
14:55:34;6,3
14:55:36;6,4
14:55:37;6,3
14:55:38;6,3
14:55:39;6,3
14:55:40;6,3
14:55:41;6,3
14:55:42;6,4
14:55:43;6,3
14:55:44;6,3
14:55:45;6,3
14:55:46;6,3
14:55:47;6,3
14:55:49;6,4
14:55:50;6,3
14:55:51;6,3
14:55:52;6,3
14:55:53;6,3
14:55:54;6,3
14:55:55;6,4
14:55:56;6,3
14:55:57;6,3
14:55:58;6,3
14:55:59;6,3
14:56:00;6,3
14:56:01;6,3
14:56:02;6,3
14:56:04;6,3
14:56:05;6,3
14:56:06;6,4
14:56:07;6,3
14:56:08;6,3
14:56:09;6,3
14:56:10;6,3
14:56:11;6,4
14:56:12;6,4
14:56:13;6,3
14:56:14;6,3
14:56:16;6,3
14:56:17;6,3
14:56:18;6,3
14:56:19;6,4
14:56:20;6,4
14:56:21;6,3
14:56:22;6,3
14:56:23;6,3
14:56:24;6,3
14:56:25;6,3
14:56:26;6,3
14:56:27;6,3
14:56:29;6,3
14:56:30;6,3
14:56:31;6,3
14:56:32;6,4
14:56:33;6,3
14:56:34;6,3
14:56:35;6,3
14:56:36;6,3
14:56:37;6,3
14:56:38;6,3
14:56:39;6,3
14:56:40;6,4
14:56:41;6,4
14:56:42;6,4
14:56:44;6,3
14:56:45;6,4
14:56:46;6,4
14:56:47;6,4
14:56:48;6,4
14:56:49;6,3
14:56:50;6,4
14:56:51;6,3
14:56:52;6,4
14:56:53;6,4
14:56:54;6,4
14:56:55;6,5
14:56:56;6,3
14:56:57;6,4
14:56:59;6,3
14:57:00;6,4
14:57:01;6,3
14:57:02;6,3
14:57:03;6,4
14:57:04;6,3
14:57:05;6,4
14:57:06;6,3
14:57:07;6,4
14:57:08;6,4
14:57:09;6,3
14:57:10;6,3
14:57:11;6,4
14:57:13;6,4
14:57:14;6,3
14:57:15;6,4
14:57:16;6,3
14:57:17;6,4
14:57:18;6,4
14:57:19;6,4
14:57:20;6,4
14:57:21;6,4
14:57:22;6,4
14:57:23;6,4
14:57:24;6,4
14:57:25;6,4
14:57:27;6,3
14:57:28;6,4
14:57:29;6,4
14:57:30;6,4
14:57:31;6,4
14:57:32;6,4
14:57:33;6,3
14:57:34;6,4
14:57:35;6,4
14:57:36;6,4
14:57:37;6,3
14:57:38;6,3
14:57:39;6,3
14:57:41;6,4
14:57:42;6,4
14:57:43;6,4
14:57:44;6,4
14:57:45;6,4
14:57:46;6,4
14:57:47;6,4
14:57:48;6,4
14:57:49;6,4
14:57:50;6,4
14:57:51;6,4
14:57:52;6,3
14:57:53;6,4
14:57:55;6,4
14:57:56;6,4
14:57:57;6,4
14:57:58;6,4
14:57:59;6,5
14:58:00;6,4
14:58:01;6,4
14:58:02;6,4
14:58:03;6,3
14:58:04;6,4
14:58:05;6,4
14:58:06;6,4
14:58:08;6,4
14:58:09;6,4
14:58:10;6,3
14:58:11;6,4
14:58:12;6,4
14:58:13;6,4
14:58:14;6,4
14:58:15;6,4
14:58:16;6,5
14:58:17;6,4
14:58:18;6,4
14:58:19;6,4
14:58:20;6,3
14:58:22;6,4
14:58:23;6,4
14:58:24;6,4
14:58:25;6,3
14:58:26;6,4
14:58:27;6,3
14:58:28;6,3
14:58:29;6,4
14:58:30;6,4
14:58:31;6,4
14:58:32;6,3
14:58:34;6,4
14:58:35;6,4
14:58:36;6,4
14:58:37;6,4
14:58:38;6,4
14:58:39;6,4
14:58:40;6,4
14:58:41;6,4
14:58:42;6,4
14:58:43;6,4
14:58:44;6,4
14:58:46;6,4
14:58:47;6,4
14:58:48;6,4
14:58:49;6,4
14:58:50;6,4
14:58:51;6,4
14:58:52;6,4
14:58:53;6,4
14:58:54;6,4
14:58:55;6,4
14:58:56;6,3
14:58:57;6,4
14:58:58;6,4
14:58:59;6,4
14:59:01;6,4
14:59:02;6,4
14:59:03;6,4
14:59:04;6,3
14:59:05;6,5
14:59:06;6,4
14:59:07;6,3
14:59:08;6,3
14:59:09;6,4
14:59:10;6,3
14:59:11;6,4
14:59:12;6,4
14:59:14;6,5
14:59:15;6,3
14:59:16;6,4
14:59:17;6,4
14:59:18;6,4
14:59:19;6,4
14:59:20;6,4
14:59:21;6,4
14:59:22;6,4
14:59:23;6,4
14:59:24;6,4
14:59:25;6,4
14:59:26;6,4
14:59:28;6,4
14:59:29;6,3
14:59:30;6,5
14:59:31;6,4
14:59:32;6,3
14:59:33;6,4
14:59:34;6,3
14:59:35;6,3
14:59:36;6,4
14:59:37;6,4
14:59:38;6,4
14:59:39;6,4
14:59:41;6,4
14:59:42;6,4
14:59:43;6,4
14:59:44;6,3
14:59:45;6,4
14:59:46;6,4
14:59:47;6,3
14:59:48;6,4
14:59:49;6,3
14:59:50;6,4
14:59:51;6,4
14:59:52;6,4
14:59:53;6,4
14:59:55;6,4
14:59:56;6,3
14:59:57;6,4
14:59:58;6,3
14:59:59;6,4
15:00:00;6,4
15:00:01;6,4
15:00:02;6,4
15:00:03;6,4
15:00:04;6,4
15:00:05;6,4
15:00:06;6,4
15:00:07;6,4
15:00:09;6,4
15:00:10;6,4
15:00:11;6,4
15:00:12;6,4
15:00:13;6,4
15:00:14;6,4
15:00:15;6,4
15:00:16;6,4
15:00:17;6,4
15:00:18;6,4
15:00:19;6,5
15:00:20;6,4
15:00:21;6,4
15:00:23;6,4
15:00:24;6,4
15:00:25;6,4
15:00:26;6,4
15:00:27;6,4
15:00:28;6,4
15:00:29;6,4
15:00:30;6,4
15:00:31;6,4
15:00:32;6,4
15:00:33;6,3
15:00:34;6,4
15:00:35;6,4
15:00:37;6,3
15:00:38;6,4
15:00:39;6,4
15:00:40;6,4
15:00:41;6,4
15:00:42;6,4
15:00:43;6,4
15:00:44;6,4
15:00:45;6,4
15:00:46;6,4
15:00:47;6,4
15:00:48;6,4
15:00:49;6,4
15:00:51;6,3
15:00:52;6,3
15:00:53;6,4
15:00:54;6,3
15:00:55;6,4
15:00:56;6,4
15:00:57;6,4
15:00:58;6,4
15:00:59;6,4
15:01:00;6,3
15:01:01;6,4
15:01:02;6,4
15:01:03;6,4
15:01:04;6,4
15:01:06;6,4
15:01:07;6,4
15:01:08;6,4
15:01:09;6,4
15:01:10;6,4
15:01:11;6,3
15:01:12;6,3
15:01:13;6,5
15:01:14;6,4
15:01:15;6,3
15:01:16;6,4
15:01:17;6,4
15:01:19;6,3
15:01:20;6,4
15:01:21;6,3
15:01:22;6,3
15:01:23;6,4
15:01:24;6,4
15:01:25;6,4
15:01:26;6,4
15:01:27;6,3
15:01:28;6,4
15:01:29;6,4
15:01:30;6,4
15:01:31;6,4
15:01:33;6,4
15:01:34;6,3
15:01:35;6,4
15:01:36;6,4
15:01:37;6,3
15:01:38;6,3
15:01:39;6,4
15:01:40;6,4
15:01:41;6,4
15:01:42;6,3
15:01:43;6,4
15:01:44;6,4
15:01:45;6,4
15:01:47;6,4
15:01:48;6,4
15:01:49;6,4
15:01:50;6,3
15:01:51;6,4
15:01:52;6,4
15:01:53;6,4
15:01:54;6,4
15:01:55;6,4
15:01:56;6,4
15:01:57;6,4
15:01:58;6,4
15:01:59;6,3
15:02:00;6,3
15:02:02;6,4
15:02:03;6,4
15:02:04;6,3
15:02:05;6,3
15:02:06;6,3
15:02:07;6,4
15:02:08;6,4
15:02:09;6,4
15:02:10;6,4
15:02:11;6,4
15:02:13;6,4
15:02:14;6,4
15:02:15;6,4
15:02:16;6,3
15:02:17;6,4
15:02:18;6,4
15:02:19;6,3
15:02:20;6,4
15:02:21;6,4
15:02:22;6,3
15:02:23;6,4
15:02:24;6,4
15:02:25;6,3
15:02:26;6,4
15:02:28;6,4
15:02:29;6,4
15:02:30;6,4
15:02:31;6,4
15:02:32;6,4
15:02:33;6,4
15:02:34;6,4
15:02:35;6,3
15:02:36;6,3
15:02:37;6,4
15:02:38;6,3
15:02:40;6,4
15:02:41;6,5
15:02:42;6,4
15:02:43;6,4
15:02:44;6,4
15:02:45;6,4
15:02:46;6,3
15:02:47;6,4
15:02:48;6,4
15:02:49;6,4
15:02:50;6,4
15:02:51;6,4
15:02:53;6,4
15:02:54;6,3
15:02:55;6,4
15:02:56;6,4
15:02:57;6,4
15:02:58;6,3
15:02:59;6,4
15:03:00;6,3
15:03:01;6,3
15:03:02;6,3
15:03:03;6,3
15:03:04;6,3
15:03:06;6,4
15:03:07;6,4
15:03:08;6,3
15:03:09;6,4
15:03:10;6,4
15:03:11;6,4
15:03:12;6,4
15:03:13;6,4
15:03:14;6,4
15:03:15;6,4
15:03:16;6,4
15:03:17;6,3
15:03:19;6,3
15:03:20;6,3
15:03:21;6,3
15:03:22;6,3
15:03:23;6,3
15:03:24;6,4
15:03:25;6,4
15:03:26;6,4
15:03:27;6,3
15:03:28;6,4
15:03:29;6,4
15:03:30;6,4
15:03:31;6,4
15:03:32;6,4
15:03:34;6,4
15:03:35;6,3
15:03:36;6,3
15:03:37;6,3
15:03:38;6,3
15:03:39;6,3
15:03:40;6,3
15:03:41;6,3
15:03:42;6,3
15:03:43;6,4
15:03:44;6,4
15:03:45;6,3
15:03:47;6,4
15:03:48;6,4
15:03:49;6,3
15:03:50;6,3
15:03:51;6,4
15:03:52;6,4
15:03:53;6,4
15:03:54;6,4
15:03:55;6,4
15:03:56;6,3
15:03:57;6,4
15:03:58;6,3
15:03:59;6,4
15:04:01;6,4
15:04:02;6,4
15:04:03;6,3
15:04:04;6,4
15:04:05;6,3
15:04:06;6,3
15:04:07;6,3
15:04:08;6,3
15:04:09;6,3
15:04:10;6,3
15:04:11;6,3
15:04:13;6,4
15:04:14;6,3
15:04:15;6,4
